wavelength 	 current	 H/D spectrum, scan rate = 1.00 nm/min; order = 1656.000	  1.8338e-09
656.010	  1.8485e-09
656.018	  1.8404e-09
656.028	  1.8485e-09
656.038	  1.8540e-09
656.046	  1.8435e-09
656.056	  1.8456e-09
656.066	  1.8372e-09
656.076	  1.8479e-09
656.084	  1.8488e-09
656.094	  1.8447e-09
656.104	  1.8485e-09
656.114	  1.8413e-09
656.124	  1.8517e-09
656.132	  1.8488e-09
656.142	  1.8531e-09
656.152	  1.8492e-09
656.160	  1.8451e-09
656.170	  1.8474e-09
656.180	  1.8495e-09
656.188	  1.8570e-09
656.198	  1.8442e-09
656.208	  1.8499e-09
656.216	  1.8624e-09
656.226	  1.8595e-09
656.234	  1.8561e-09
656.244	  1.8472e-09
656.254	  1.8531e-09
656.262	  1.8447e-09
656.272	  1.8508e-09
656.282	  1.8442e-09
656.292	  1.8567e-09
656.300	  1.8561e-09
656.310	  1.8538e-09
656.318	  1.8599e-09
656.328	  1.8586e-09
656.338	  1.8563e-09
656.346	  1.8561e-09
656.356	  1.8781e-09
656.366	  1.8638e-09
656.374	  1.8765e-09
656.384	  1.8806e-09
656.395	  1.8765e-09
656.402	  1.8970e-09
656.412	  1.8881e-09
656.423	  1.8970e-09
656.430	  1.9047e-09
656.441	  1.9229e-09
656.451	  1.9259e-09
656.459	  1.9272e-09
656.469	  1.9479e-09
656.479	  1.9675e-09
656.487	  1.9720e-09
656.497	  1.9832e-09
656.505	  2.0111e-09
656.515	  2.0077e-09
656.525	  2.0527e-09
656.533	  2.0696e-09
656.543	  2.0952e-09
656.553	  2.1194e-09
656.561	  2.1548e-09
656.571	  2.1989e-09
656.581	  2.2035e-09
656.589	  2.2451e-09
656.599	  2.2867e-09
656.607	  2.3001e-09
656.617	  2.3852e-09
656.627	  2.4268e-09
656.635	  2.4954e-09
656.645	  2.5930e-09
656.653	  2.6780e-09
656.663	  2.7890e-09
656.673	  2.9245e-09
656.681	  3.0750e-09
656.691	  3.2696e-09
656.701	  3.4993e-09
656.709	  3.9195e-09
656.719	  4.1480e-09
656.729	  4.5616e-09
656.739	  5.0088e-09
656.747	  5.6687e-09
656.757	  6.3776e-09
656.767	  7.1743e-09
656.775	  8.0590e-09
656.785	  8.9117e-09
656.793	  1.0036e-08
656.803	  1.1333e-08
656.813	  1.2804e-08
656.823	  1.4713e-08
656.831	  1.6763e-08
656.841	  1.8618e-08
656.851	  2.1102e-08
656.859	  2.3271e-08
656.869	  2.6034e-08
656.877	  2.9522e-08
656.887	  3.2316e-08
656.897	  3.4304e-08
656.905	  3.5971e-08
656.915	  3.7190e-08
656.925	  3.8127e-08
656.933	  3.9212e-08
656.943	  3.9489e-08
656.953	  3.9501e-08
656.961	  3.9632e-08
656.971	  4.0201e-08
656.981	  4.1060e-08
656.989	  4.1633e-08
656.999	  4.3124e-08
657.009	  4.5170e-08
657.017	  4.8096e-08
657.027	  5.2051e-08
657.037	  5.3942e-08
657.045	  5.6242e-08
657.055	  5.8917e-08
657.065	  6.3837e-08
657.073	  6.3664e-08
657.083	  6.5489e-08
657.094	  6.6539e-08
657.101	  6.5936e-08
657.111	  6.3897e-08
657.122	  6.2137e-08
657.130	  5.8631e-08
657.140	  5.4198e-08
657.148	  4.9408e-08
657.158	  4.4769e-08
657.168	  3.9632e-08
657.176	  3.5358e-08
657.186	  3.1785e-08
657.196	  2.8390e-08
657.204	  2.5651e-08
657.214	  2.2727e-08
657.224	  2.0523e-08
657.232	  1.8011e-08
657.242	  1.5434e-08
657.252	  1.3516e-08
657.262	  1.1295e-08
657.270	  9.4308e-09
657.280	  7.7209e-09
657.290	  6.4147e-09
657.298	  5.3692e-09
657.308	  4.4104e-09
657.318	  3.6800e-09
657.326	  3.0871e-09
657.336	  2.7076e-09
657.346	  2.4040e-09
657.354	  2.1973e-09
657.364	  2.0741e-09
657.374	  2.0009e-09
657.382	  1.9484e-09
657.392	  1.9159e-09
657.402	  1.9106e-09
657.410	  1.8933e-09
657.420	  1.8902e-09
657.428	  1.8874e-09
657.438	  1.8811e-09
657.448	  1.8867e-09
657.458	  1.8888e-09
657.466	  1.8706e-09
657.476	  1.8692e-09
657.486	  1.8749e-09
657.494	  1.8683e-09
657.504	  1.8683e-09
657.512	  1.8772e-09
657.522	  1.8629e-09
657.530	  1.8510e-09
657.540	  1.8570e-09
657.550	  1.8636e-09
657.558	  1.8586e-09
657.568	  1.8590e-09
657.578	  1.8561e-09
657.586	  1.8561e-09
657.596	  1.8451e-09
657.606	  1.8524e-09
657.614	  1.8545e-09
657.624	  1.8592e-09
657.634	  1.8470e-09
657.642	  1.8504e-09
657.652	  1.8449e-09
657.662	  1.8572e-09
657.670	  1.8515e-09
657.680	  1.8538e-09
657.690	  1.8488e-09
657.698	  1.8547e-09
657.708	  1.8522e-09
657.718	  1.8517e-09
657.726	  1.8508e-09
657.736	  1.8474e-09
657.746	  1.8510e-09
657.754	  1.8576e-09
657.764	  1.8383e-09
657.774	  1.8515e-09
657.782	  1.8463e-09
657.792	  1.8442e-09
657.800	  1.8435e-09
657.810	  1.8456e-09
657.821	  1.8481e-09
657.828	  1.8492e-09
657.838	  1.8526e-09
657.849	  1.8492e-09
657.857	  1.8463e-09
657.866	  1.8540e-09
657.877	  1.8417e-09
657.885	  1.8488e-09
657.895	  1.8458e-09
657.903	  1.8465e-09
657.913	  1.8474e-09
657.923	  1.8417e-09
657.931	  1.8563e-09
657.941	  1.8508e-09
657.951	  1.8465e-09
657.959	  1.8549e-09
657.969	  1.8449e-09
