# Time	Temperature	Voltage	for 10 mA drive current
1.5691e+02	2.1161e+02	1.3352e-04
1.5836e+02	2.1092e+02	1.3184e-04
1.5979e+02	2.1004e+02	1.3237e-04
1.6123e+02	2.0926e+02	1.3062e-04
1.6267e+02	2.0832e+02	1.3104e-04
1.6409e+02	2.0744e+02	1.2933e-04
1.6553e+02	2.0636e+02	1.2972e-04
1.6699e+02	2.0539e+02	1.2786e-04
1.6843e+02	2.0426e+02	1.2818e-04
1.6988e+02	2.0319e+02	1.2639e-04
1.7129e+02	2.0198e+02	1.2681e-04
1.7274e+02	2.0084e+02	1.2494e-04
1.7418e+02	1.9945e+02	1.2532e-04
1.7563e+02	1.9804e+02	1.2320e-04
1.7709e+02	1.9649e+02	1.2385e-04
1.7852e+02	1.9510e+02	1.2027e-04
1.7995e+02	1.9358e+02	1.2272e-04
1.8138e+02	1.9217e+02	1.1571e-04
1.8284e+02	1.9060e+02	1.2264e-04
1.8430e+02	1.8865e+02	1.1216e-04
1.8575e+02	1.8627e+02	1.1908e-04
1.8721e+02	1.8314e+02	1.0825e-04
1.8868e+02	1.7951e+02	1.1162e-04
1.9015e+02	1.7537e+02	1.0344e-04
1.9163e+02	1.7059e+02	1.0142e-04
1.9308e+02	1.6537e+02	9.3465e-05
1.9452e+02	1.5948e+02	7.7142e-05
1.9601e+02	1.5332e+02	6.8966e-05
1.9748e+02	1.4741e+02	2.7452e-05
1.9894e+02	1.4201e+02	1.1037e-05
2.0040e+02	1.3711e+02	9.0216e-06
2.0187e+02	1.3258e+02	9.9176e-06
2.0332e+02	1.2895e+02	6.4098e-06
2.0478e+02	1.2584e+02	5.2506e-06
2.0627e+02	1.2244e+02	5.6718e-07
2.0775e+02	1.1932e+02	2.1283e-08
2.0924e+02	1.1330e+02	1.3774e-07
2.1073e+02	1.1021e+02	1.7039e-08
2.1221e+02	1.0972e+02	4.5376e-08
2.1370e+02	1.0934e+02	2.1223e-08
2.1517e+02	1.0904e+02	3.3180e-08
2.1663e+02	1.0886e+02	2.3914e-09
2.1812e+02	1.0871e+02	3.7066e-09
2.1961e+02	1.0857e+02	2.9294e-09
2.2109e+02	1.0854e+02	1.0761e-09
2.2255e+02	1.0861e+02	1.5843e-08
2.2405e+02	1.0863e+02	1.3571e-08
2.2555e+02	1.0865e+02	8.3698e-09
2.2703e+02	1.0867e+02	6.2774e-09
2.2851e+02	1.0868e+02	1.8234e-08
2.3001e+02	1.0869e+02	1.1120e-08
2.3153e+02	1.0869e+02	5.1415e-09
2.3305e+02	1.0868e+02	9.8046e-09
2.3452e+02	1.0867e+02	2.3914e-09
2.3604e+02	1.0865e+02	2.6604e-08
2.3755e+02	1.0864e+02	6.3371e-09
2.3906e+02	1.0862e+02	5.8589e-09
2.4054e+02	1.0861e+02	3.7066e-09
2.4206e+02	1.0857e+02	1.6680e-08
2.4357e+02	1.0863e+02	2.2120e-08
2.4509e+02	1.0864e+02	1.9729e-08
2.4658e+02	1.0863e+02	2.0925e-09
2.4811e+02	1.0862e+02	6.2774e-09
2.4962e+02	1.0861e+02	6.9948e-09
2.5115e+02	1.0861e+02	1.6740e-09
2.5266e+02	1.0860e+02	8.8481e-09
2.5420e+02	1.0856e+02	3.2284e-09
2.5571e+02	1.0850e+02	5.8589e-09
2.5724e+02	1.0845e+02	4.1251e-09
2.5877e+02	1.0838e+02	4.1849e-09
2.6030e+02	1.0832e+02	2.0566e-08
2.6183e+02	1.0826e+02	4.3045e-09
2.6335e+02	1.0822e+02	1.0522e-08
2.6487e+02	1.0817e+02	9.8046e-09
2.6639e+02	1.0811e+02	1.7935e-10
2.6793e+02	1.0804e+02	6.8752e-09
2.6943e+02	1.0796e+02	1.2256e-08
2.7097e+02	1.0789e+02	5.9784e-11
2.7251e+02	1.0780e+02	7.7122e-09
2.7405e+02	1.0773e+02	1.6202e-08
2.7560e+02	1.0766e+02	4.4240e-09
2.7714e+02	1.0759e+02	6.2774e-09
2.7868e+02	1.0753e+02	2.6006e-08
2.8023e+02	1.0747e+02	2.8099e-09
2.8176e+02	1.0739e+02	1.6142e-08
2.8331e+02	1.0731e+02	1.6740e-09
2.8487e+02	1.0721e+02	5.2012e-09
2.8643e+02	1.0711e+02	3.5273e-09
2.8799e+02	1.0700e+02	4.9023e-09
2.8955e+02	1.0689e+02	6.7556e-09
2.9111e+02	1.0679e+02	1.3511e-08
2.9266e+02	1.0670e+02	4.3643e-09
2.9421e+02	1.0660e+02	2.6305e-09
2.9578e+02	1.0650e+02	5.6795e-09
2.9733e+02	1.0640e+02	1.4348e-08
2.9888e+02	1.0630e+02	5.5599e-09
3.0043e+02	1.0621e+02	2.6305e-09
3.0200e+02	1.0611e+02	5.3806e-10
3.0356e+02	1.0601e+02	1.2196e-08
3.0512e+02	1.0591e+02	5.9784e-10
3.0669e+02	1.0581e+02	9.2068e-09
3.0825e+02	1.0569e+02	7.4730e-09
3.0983e+02	1.0559e+02	1.1957e-10
3.1141e+02	1.0550e+02	7.1143e-09
3.1297e+02	1.0541e+02	8.0111e-09
